taille,temps
617,1.470426082611084
694,1.9034473896026611
987,2.4812042713165283
724,1.7520177364349365
832,2.033367872238159
824,1.962355613708496
94,1.0428481101989746
879,2.285198450088501
992,2.390885353088379
803,2.170405626296997
160,1.0053436756134033
440,1.1961686611175537
714,1.7664940357208252
363,1.3223812580108643
106,0.9891729354858398
314,1.0863068103790283
96,1.0784242153167725
163,1.077385425567627
90,1.1320490837097168
751,1.6497271060943604
868,1.9771127700805664
236,1.1585121154785156
523,1.572082281112671
951,2.255574941635132
990,2.2844297885894775
49,1.1180860996246338
143,1.1038026809692383
360,1.2991464138031006
887,2.193814277648926
638,1.5923805236816406
732,1.72713303565979
426,1.2392170429229736
675,1.6442556381225586
114,0.9706010818481445
134,1.0907032489776611
265,1.0416791439056396
830,1.7966945171356201
123,1.0983338356018066
217,1.042905330657959
620,1.644991159439087
898,2.1317312717437744
413,1.3139479160308838
417,1.2822465896606445
752,1.8718152046203613
879,2.0609254837036133
95,1.0468251705169678
424,1.4111738204956055
331,1.2120716571807861
55,0.9156918525695801
939,2.1150121688842773
882,2.255866050720215
988,2.5031092166900635
461,1.3904457092285156
190,1.2444202899932861
671,1.8755207061767578
618,1.6688897609710693
861,2.0321617126464844
175,1.1926705837249756
32,0.993525505065918
928,2.3894567489624023
324,1.5051958560943604
105,1.263169288635254
467,1.5051562786102295
328,1.4940338134765625
461,1.5979278087615967
570,1.638545036315918
282,1.2923095226287842
332,1.4239709377288818
935,2.310678482055664
418,1.329700231552124
616,1.6231393814086914
535,1.5459465980529785
653,1.6890003681182861
290,1.188422441482544
150,1.147315263748169
954,2.103341817855835
90,0.9983351230621338
299,1.2128691673278809
66,0.9464647769927979
136,1.1813936233520508
809,1.943680763244629
266,1.118856430053711
732,1.6476740837097168
889,2.1822669506073
668,1.840015172958374
659,1.762192726135254
957,2.3272788524627686
899,2.113065481185913
654,1.7382233142852783
710,1.8388078212738037
428,1.436093807220459
606,1.6637141704559326
416,1.3718228340148926
819,1.8824434280395508
31,1.1646122932434082
602,1.5497426986694336
965,1.6900970935821533
513,1.2952558994293213
601,1.1206417083740234
383,0.8142516613006592
