taille,temps
4017,26.00906801223755
4149,28.958065271377563
4747,38.4278461933136
2573,11.247169017791748
116,1.294804573059082
475,1.3746016025543213
111,1.038205623626709
4784,26.687604188919067
4668,31.577850341796875
4341,28.56918978691101
649,1.0815293788909912
545,0.504227876663208
4977,36.82953453063965
4310,31.646729469299316
2777,10.20425009727478
3742,20.737585067749023
276,0.40192723274230957
2930,9.6032235622406
4381,36.240872859954834
338,1.9925906658172607
1474,5.1123363971710205
4139,30.46937108039856
3212,22.5903799533844
603,2.0528078079223633
4279,32.447264194488525
1469,1.938983678817749
1399,1.7592053413391113
1836,3.3099617958068848
635,0.7305986881256104
785,0.9367392063140869
931,1.2472712993621826
4128,24.610666751861572
3810,20.155351400375366
1582,4.885073900222778
4368,32.10265779495239
3203,14.714038133621216
2821,8.653460502624512
1633,2.695343017578125
1429,1.8415253162384033
1994,4.144707679748535
4943,32.497682332992554
4827,32.44045305252075
710,1.4795498847961426
4898,32.28283929824829
1235,3.4921953678131104
556,1.914456844329834
4951,24.055219888687134
3367,9.985068321228027
1979,3.771885395050049
621,0.5633175373077393
1671,18.723790168762207
3770,-1
2844,-1
3186,-1
4159,-1
2949,-1
850,2.421107769012451
54,0.9740965366363525
375,1.280705213546753
2756,-1
4814,-1
2590,12.353265762329102
2869,-1
583,1.4824485778808594
2001,8.946928024291992
443,0.6547787189483643
2803,-1
3686,-1
1621,3.879702568054199
703,1.1512200832366943
